Commune;Codepos;Departement;INSEE
CLERAC;17270;CHARENTE MARITIME;17110
CLERE DU BOIS;36700;INDRE;36054
CLERE LES PINS;37340;INDRE ET LOIRE;37081
CLERE SUR LAYON;49560;MAINE ET LOIRE;49102
CLERES;76690;SEINE MARITIME;76179
CLEREY;10390;AUBE;10100
CLEREY LA COTE;88630;VOSGES;88107
CLEREY SUR BRENON;54330;MEURTHE ET MOSELLE;54132
CLERGOUX;19320;CORREZE;19056
CLERIEUX;26260;DROME;26096
CLERLANDE;63720;PUY DE DOME;63112
CLERMAIN;71520;SAONE ET LOIRE;71134
CLERMONT;9420;ARIEGE;9097
CLERMONT;40180;LANDES;40084
CLERMONT;60600;OISE;60157
CLERMONT;74270;HAUTE SAVOIE;74078
CLERMONT CREANS;72200;SARTHE;72084
CLERMONT D EXCIDEUIL;24160;DORDOGNE;24124
CLERMONT DE BEAUREGARD;24140;DORDOGNE;24123
CLERMONT DESSOUS;47130;LOT ET GARONNE;47066
CLERMONT EN ARGONNE;55120;MEUSE;55117
CLERMONT FERRAND;63000;PUY DE DOME;63113
CLERMONT L HERAULT;34800;HERAULT;34079
CLERMONT LE FORT;31810;HAUTE GARONNE;31148
CLERMONT LES FERMES;2340;AISNE;2200
CLERMONT POUYGUILLES;32300;GERS;32104
CLERMONT SAVES;32600;GERS;32105
CLERMONT SOUBIRAN;47270;LOT ET GARONNE;47067
CLERMONT SUR LAUQUET;11250;AUDE;11094
CLERON;25330;DOUBS;25155
CLERQUES;62890;PAS DE CALAIS;62228
CLERVAL;25340;DOUBS;25156
CLERY;21270;COTE D'OR;21180
CLERY;73460;SAVOIE;73086
CLERY EN VEXIN;95420;VAL D'OISE;95166
CLERY GRAND;55110;MEUSE;55118
CLERY PETIT;55110;MEUSE;55119
CLERY ST ANDRE;45370;LOIRET;45098
CLERY SUR SOMME;80200;SOMME;80199
CLESLES;51260;MARNE;51155
CLESSE;71260;SAONE ET LOIRE;71135
CLESSE;79350;DEUX SEVRES;79094
CLESSY;71130;SAONE ET LOIRE;71136
CLETY;62380;PAS DE CALAIS;62229
CLEURIE;88120;VOSGES;88109
CLEUVILLE;76450;SEINE MARITIME;76180
CLEVILLE;14370;CALVADOS;14163
CLEVILLE;76640;SEINE MARITIME;76181
CLEVILLIERS;28300;EURE ET LOIR;28102
CLEYRAC;33540;GIRONDE;33129
CLEYZIEU;1230;AIN;1107
CLEZENTAINE;88700;VOSGES;88110
CLICHY;92110;HAUTS DE SEINE;92024
CLICHY SOUS BOIS;93390;SEINE SAINT DENIS;93014
CLIMBACH;67510;BAS RHIN;67075
CLINCHAMP;52700;HAUTE MARNE;52133
CLINCHAMPS SUR ORNE;14320;CALVADOS;14164
CLION;17240;CHARENTE MARITIME;17111
CLION;36700;INDRE;36055
CLIOUSCLAT;26270;DROME;26097
CLIPONVILLE;76640;SEINE MARITIME;76182
CLIS;44350;LOIRE ATLANTIQUE;44910
CLISSON;44190;LOIRE ATLANTIQUE;44043
CLITOURPS;50330;MANCHE;50135
CLOHARS CARNOET;29360;FINISTERE;29031
CLOHARS FOUESNANT;29950;FINISTERE;29032
CLOMOT;21230;COTE D'OR;21181
CLONAS SUR VAREZE;38550;ISERE;38114
CLOS FONTAINE;77370;SEINE ET MARNE;77119
CLOUANGE;57120;MOSELLE;57143
CLOUE;86600;VIENNE;86080
CLOYES SUR LE LOIR;28220;EURE ET LOIR;28103
CLOYES SUR MARNE;51300;MARNE;51156
CLUCY;39110;JURA;39155
CLUGNAT;23270;CREUSE;23064
CLUIS;36340;INDRE;36056
CLUMANC;4330;ALPES DE HAUTE PROVENCE;4059
CLUNY;71250;SAONE ET LOIRE;71137
CLUSES;74300;HAUTE SAVOIE;74081
CLUSSAIS LA POMMERAIE;79190;DEUX SEVRES;79095
CLUX;71270;SAONE ET LOIRE;71138
COADOUT;22970;COTES D'ARMOR;22040
COARAZE;6390;ALPES MARITIMES;6043
COARRAZE;64800;PYRENEES ATLANTIQUES;64191
COAT MEAL;29870;FINISTERE;29035
COATASCORN;22140;COTES D'ARMOR;22041
COATREVEN;22450;COTES D'ARMOR;22042
COBONNE;26400;DROME;26098
COBRIEUX;59830;NORD;59150
COCHEREL;77440;SEINE ET MARNE;77120
COCHEREN;57800;MOSELLE;57144
COCLOIS;10240;AUBE;10101
COCONI;97670;MAYOTTE;98518
COCQUEREL;80510;SOMME;80200
COCUMONT;47250;LOT ET GARONNE;47068
COCURES;48400;LOZERE;48050
CODALET;66500;PYRENEES ORIENTALES;66052
CODOGNAN;30920;GARD;30083
CODOLET;30200;GARD;30084
COEMONT;72500;SARTHE;72903
COESMES;35134;ILLE ET VILAINE;35082
COETLOGON;22210;COTES D'ARMOR;22043
COETMIEUX;22400;COTES D'ARMOR;22044
COETQUIDAN BELLEVUE;56380;MORBIHAN;56902
COEUILLY;94500;VAL DE MARNE;94903
COEUVRES ET VALSERY;2600;AISNE;2201
COEX;85220;VENDEE;85070
COGGIA;20160;CORSE;20090
COGLES;35460;ILLE ET VILAINE;35083
COGNA;39130;JURA;39156
COGNAC;16100;CHARENTE;16102
COGNAC LA FORET;87310;HAUTE VIENNE;87046
COGNAT LYONNE;3110;ALLIER;3080
COGNERS;72310;SARTHE;72085
COGNET;38350;ISERE;38116
COGNIERES;70230;HAUTE SAONE;70159
COGNIN;73160;SAVOIE;73087
COGNIN LES GORGES;38470;ISERE;38117
COGNOCOLI MONTICHI;20123;CORSE;20091
COGNY;18130;CHER;18068
COGNY;69640;RHONE;69061
COGOLIN;83310;VAR;83042
COHADE;43100;HAUTE LOIRE;43074
COHAN;2130;AISNE;2202
COHENNOZ;73400;SAVOIE;73088
COHINIAC;22800;COTES D'ARMOR;22045
COHONS;52600;HAUTE MARNE;52134
COIFFY LE BAS;52400;HAUTE MARNE;52135
COIFFY LE HAUT;52400;HAUTE MARNE;52136
COIGNEUX;80560;SOMME;80201
COIGNIERES;78310;YVELINES;78168
COIGNY;50250;MANCHE;50136
COIMERES;33210;GIRONDE;33130
COIN LES CUVRY;57420;MOSELLE;57146
COIN SUR SEILLE;57420;MOSELLE;57147
COINCES;45310;LOIRET;45099
COINCHES;88100;VOSGES;88111
COINCOURT;54370;MEURTHE ET MOSELLE;54133
COINCY;2210;AISNE;2203
COINCY;57530;MOSELLE;57145
COINGS;36130;INDRE;36057
COINGT;2360;AISNE;2204
COIRAC;33540;GIRONDE;33131
COISE;69590;RHONE;69062
COISE ST JEAN PIED GAUTHI;73800;SAVOIE;73089
COISERETTE;39200;JURA;39157
COISEVAUX;70400;HAUTE SAONE;70160
COISIA;39240;JURA;39158
COISY;80260;SOMME;80202
COIVERT;17330;CHARENTE MARITIME;17114
COIVREL;60420;OISE;60158
COIZARD JOCHES;51270;MARNE;51157
COL DE ROUSSET;26420;DROME;26914
COLAYRAC ST CIRQ;47450;LOT ET GARONNE;47069
COLEMBERT;62142;PAS DE CALAIS;62230
COLIGNY;1270;AIN;1108
COLINCAMPS;80560;SOMME;80203
COLLAN;89700;YONNE;89112
COLLANDRES;15400;CANTAL;15052
COLLANDRES QUINCARNON;27190;EURE;27162
COLLANGES;63340;PUY DE DOME;63114
COLLAT;43230;HAUTE LOIRE;43075
COLLEGIEN;77090;SEINE ET MARNE;77121
COLLEMIERS;89100;YONNE;89113
COLLERET;59680;NORD;59151
COLLETOT;27500;EURE;27163
COLLEVILLE;76400;SEINE MARITIME;76183
COLLEVILLE MONTGOMERY;14880;CALVADOS;14166
COLLEVILLE SUR MER;14710;CALVADOS;14165
COLLIAS;30210;GARD;30085
COLLIGIS CRANDELAIN;2860;AISNE;2205
COLLIGNY;57530;MOSELLE;57148
COLLINE BEAUMONT;62180;PAS DE CALAIS;62231
COLLINEE;22330;COTES D'ARMOR;22046
COLLIOURE;66190;PYRENEES ORIENTALES;66053
COLLOBRIERES;83610;VAR;83043
COLLONGE EN CHAROLLAIS;71460;SAONE ET LOIRE;71139
COLLONGE LA MADELEINE;71360;SAONE ET LOIRE;71140
COLLONGES;1550;AIN;1109
COLLONGES AU MONT D OR;69660;RHONE;69063
COLLONGES LA ROUGE;19500;CORREZE;19057
COLLONGES LES BEVY;21220;COTE D'OR;21182
COLLONGES LES PREMIERES;21110;COTE D'OR;21183
COLLONGES SUR SALEVE;74160;HAUTE SAVOIE;74082
COLLONGUES;6910;ALPES MARITIMES;6045
COLLONGUES;65350;HAUTES PYRENEES;65151
COLLOREC;29530;FINISTERE;29036
COLLORGUES;30190;GARD;30086
COLMAR;68000;HAUT RHIN;68066
COLMARS;4370;ALPES DE HAUTE PROVENCE;4061
COLMEN;57320;MOSELLE;57149
COLMERY;58350;NIEVRE;58081
COLMESNIL MANNEVILLE;76550;SEINE MARITIME;76184
COLMEY;54260;MEURTHE ET MOSELLE;54134
COLMIER LE BAS;52160;HAUTE MARNE;52137
COLMIER LE HAUT;52160;HAUTE MARNE;52138
COLOGNAC;30460;GARD;30087
COLOGNE;32430;GERS;32106
COLOMARS;6670;ALPES MARITIMES;6046
COLOMBE;38690;ISERE;38118
COLOMBE LA FOSSE;10200;AUBE;10102
COLOMBE LE SEC;10200;AUBE;10103
COLOMBE LES BITHAINE;70200;HAUTE SAONE;70161
COLOMBE LES VESOUL;70000;HAUTE SAONE;70162
COLOMBELLES;14460;CALVADOS;14167
COLOMBES;92700;HAUTS DE SEINE;92025
COLOMBEY LES BELLES;54170;MEURTHE ET MOSELLE;54135
COLOMBEY LES CHOISEUL;52240;HAUTE MARNE;52139
COLOMBEY LES DEUX EGLISES;52330;HAUTE MARNE;52140
COLOMBIER;3600;ALLIER;3081
COLOMBIER;21360;COTE D'OR;21184
COLOMBIER;24560;DORDOGNE;24126
COLOMBIER;42220;LOIRE;42067
COLOMBIER;70000;HAUTE SAONE;70163
COLOMBIER CHATELOT;25260;DOUBS;25158
COLOMBIER EN BRIONNAIS;71800;SAONE ET LOIRE;71141
COLOMBIER FONTAINE;25260;DOUBS;25159
COLOMBIER LE CARDINAL;7430;ARDECHE;7067
COLOMBIER LE JEUNE;7270;ARDECHE;7068
COLOMBIER LE VIEUX;7410;ARDECHE;7069
COLOMBIER SAUGNIEU;69124;RHONE;69299
COLOMBIERES;14710;CALVADOS;14168
COLOMBIERES SUR ORB;34390;HERAULT;34080
COLOMBIERS;17460;CHARENTE MARITIME;17115
COLOMBIERS;18200;CHER;18069
COLOMBIERS;34440;HERAULT;34081
COLOMBIERS;61250;ORNE;61111
COLOMBIERS;86490;VIENNE;86081
COLOMBIERS DU PLESSIS;53120;MAYENNE;53071
COLOMBIERS SUR SEULLES;14480;CALVADOS;14169
COLOMBIES;12240;AVEYRON;12068
COLOMBOTTE;70240;HAUTE SAONE;70164
COLOMBY;50700;MANCHE;50138
COLOMBY SUR THAON;14610;CALVADOS;14170
COLOMIERS;31770;HAUTE GARONNE;31149
COLOMIEU;1300;AIN;1110
COLONARD CORUBERT;61340;ORNE;61112
COLONDANNES;23800;CREUSE;23065
COLONFAY;2120;AISNE;2206
COLONNE;39800;JURA;39159
COLONZELLE;26230;DROME;26099
COLPO;56390;MORBIHAN;56042
COLROY LA GRANDE;88490;VOSGES;88112
COLROY LA ROCHE;67420;BAS RHIN;67076
COLTAINVILLE;28300;EURE ET LOIR;28104
COLTINES;15170;CANTAL;15053
COLY;24120;DORDOGNE;24127
COMBAILLAUX;34980;HERAULT;34082
COMBANI;97680;MAYOTTE;98519
COMBAS;30250;GARD;30088
COMBE ROUSSE;38790;ISERE;38917
COMBEAUFONTAINE;70120;HAUTE SAONE;70165
COMBEFA;81640;TARN;81068
COMBERANCHE ET EPELUCHE;24600;DORDOGNE;24128
COMBERJON;70000;HAUTE SAONE;70166
COMBEROUGER;82600;TARN ET GARONNE;82043
COMBERTAULT;21200;COTE D'OR;21185
COMBES;12110;AVEYRON;12922
COMBES;34240;HERAULT;34083
COMBIERS;16320;CHARENTE;16103
COMBLANCHIEN;21700;COTE D'OR;21186
COMBLES;80360;SOMME;80204
COMBLES EN BARROIS;55000;MEUSE;55120
COMBLESSAC;35330;ILLE ET VILAINE;35084
COMBLEUX;45800;LOIRET;45100
COMBLOT;61400;ORNE;61113
COMBLOUX;74920;HAUTE SAVOIE;74083
COMBON;27170;EURE;27164
COMBOURG;35270;ILLE ET VILAINE;35085
COMBOURTILLE;35210;ILLE ET VILAINE;35086
COMBOVIN;26120;DROME;26100
COMBRAILLES;63380;PUY DE DOME;63115
COMBRAND;79140;DEUX SEVRES;79096
COMBRAY;14220;CALVADOS;14171
COMBRE;42840;LOIRE;42068
COMBREE;49520;MAINE ET LOIRE;49103
COMBRES;28480;EURE ET LOIR;28105
COMBRES SOUS LES COTES;55160;MEUSE;55121
COMBRESSOL;19250;CORREZE;19058
COMBRET;12370;AVEYRON;12069
COMBREUX;45530;LOIRET;45101
COMBRIMONT;88490;VOSGES;88113
COMBRIT;29120;FINISTERE;29037
COMBRONDE;63460;PUY DE DOME;63116
COMBS LA VILLE;77380;SEINE ET MARNE;77122
COMIAC;46190;LOT;46071
COMIGNE;11700;AUDE;11095
COMINES;59560;NORD;59152
COMMANA;29450;FINISTERE;29038
COMMARIN;21320;COTE D'OR;21187
COMMEAUX;61200;ORNE;61114
COMMELLE;38260;ISERE;38121
COMMELLE VERNAY;42120;LOIRE;42069
COMMENAILLES;39140;JURA;39160
COMMENCHON;2300;AISNE;2207
COMMENSACQ;40210;LANDES;40085
COMMENTRY;3600;ALLIER;3082
COMMENY;95450;VAL D'OISE;95169
COMMEQUIERS;85220;VENDEE;85071
COMMER;53470;MAYENNE;53072
COMMERCY;55200;MEUSE;55122
COMMERVEIL;72600;SARTHE;72086
COMMES;14520;CALVADOS;14172
COMMISSEY;89430;YONNE;89114
COMMUNAILLES EN MONTAGNE;39250;JURA;39161
COMMUNAY;69360;RHONE;69272
COMPAINS;63610;PUY DE DOME;63117
COMPAINVILLE;76440;SEINE MARITIME;76185
COMPANS;77290;SEINE ET MARNE;77123
COMPERTRIX;51510;MARNE;51160
COMPEYRE;12520;AVEYRON;12070
COMPIEGNE;60200;OISE;60159
COMPIGNY;89140;YONNE;89115
COMPOLIBAT;12350;AVEYRON;12071
COMPREGNAC;12100;AVEYRON;12072
COMPREIGNAC;87140;HAUTE VIENNE;87047
COMPS;26220;DROME;26101
COMPS;30300;GARD;30089
COMPS;33710;GIRONDE;33132
COMPS LA GRAND VILLE;12120;AVEYRON;12073
COMPS SUR ARTUBY;83840;VAR;83044
COMUS;11340;AUDE;11096
CONAN;41290;LOIR ET CHER;41057
CONAND;1230;AIN;1111
CONAT;66500;PYRENEES ORIENTALES;66054
CONCA;20135;CORSE;20092
CONCARNEAU;29900;FINISTERE;29039
CONCEVREUX;2160;AISNE;2208
CONCEZE;19350;CORREZE;19059
CONCHES EN OUCHE;27190;EURE;27165
CONCHES SUR GONDOIRE;77600;SEINE ET MARNE;77124
CONCHEZ DE BEARN;64330;PYRENEES ATLANTIQUES;64192
CONCHIL LE TEMPLE;62180;PAS DE CALAIS;62233
CONCHY LES POTS;60490;OISE;60160
CONCHY SUR CANCHE;62270;PAS DE CALAIS;62234
CONCORES;46310;LOT;46072
CONCORET;56430;MORBIHAN;56043
CONCOTS;46260;LOT;46073
CONCOULES;30450;GARD;30090
CONCOURSON SUR LAYON;49700;MAINE ET LOIRE;49104
CONCREMIERS;36300;INDRE;36058
CONCRESSAULT;18260;CHER;18070
CONCRIERS;41370;LOIR ET CHER;41058
CONDAC;16700;CHARENTE;16104
CONDAL;71480;SAONE ET LOIRE;71143
CONDAMINE;1430;AIN;1112
CONDAMINE;39570;JURA;39162
CONDAT;15190;CANTAL;15054
CONDAT;46110;LOT;46074
CONDAT EN COMBRAILLES;63380;PUY DE DOME;63118
CONDAT LE LARDIN;24160;DORDOGNE;24901
CONDAT LES MONTBOISSIER;63490;PUY DE DOME;63119
CONDAT SUR GANAVEIX;19140;CORREZE;19060
CONDAT SUR TRINCOU;24530;DORDOGNE;24129
CONDAT SUR VEZERE;24570;DORDOGNE;24130
CONDAT SUR VIENNE;87920;HAUTE VIENNE;87048
CONDE;36100;INDRE;36059
CONDE EN BRIE;2330;AISNE;2209
CONDE FOLIE;80890;SOMME;80205
CONDE LES AUTRY;8250;ARDENNES;8128
CONDE LES HERPY;8360;ARDENNES;8126
CONDE NORTHEN;57220;MOSELLE;57150
CONDE STE LIBIAIRE;77450;SEINE ET MARNE;77125
CONDE SUR AISNE;2370;AISNE;2210
CONDE SUR HUISNE;61110;ORNE;61116
CONDE SUR IFS;14270;CALVADOS;14173
CONDE SUR ITON;27160;EURE;27166
CONDE SUR L ESCAUT;59163;NORD;59153
CONDE SUR MARNE;51150;MARNE;51161
CONDE SUR NOIREAU;14110;CALVADOS;14174
CONDE SUR RISLE;27290;EURE;27167
CONDE SUR SARTHE;61250;ORNE;61117
CONDE SUR SEULLES;14400;CALVADOS;14175
CONDE SUR SUIPPE;2190;AISNE;2211
CONDE SUR VESGRE;78113;YVELINES;78171
CONDE SUR VIRE;50890;MANCHE;50139
CONDEAU;61110;ORNE;61115
CONDECOURT;95450;VAL D'OISE;95170
CONDEISSIAT;1400;AIN;1113
CONDEON;16360;CHARENTE;16105
CONDES;39240;JURA;39163
CONDES;52000;HAUTE MARNE;52141
CONDETTE;62360;PAS DE CALAIS;62235
CONDEZAYGUES;47500;LOT ET GARONNE;47070
CONDILLAC;26740;DROME;26102
CONDOM;32100;GERS;32107
CONDOM D AUBRAC;12470;AVEYRON;12074
CONDORCET;26110;DROME;26103
CONDREN;2700;AISNE;2212
CONDRIEU;69420;RHONE;69064
CONFLANDEY;70170;HAUTE SAONE;70167
CONFLANS EN JARNISY;54800;MEURTHE ET MOSELLE;54136
CONFLANS STE HONORINE;78700;YVELINES;78172
CONFLANS SUR ANILLE;72120;SARTHE;72087
CONFLANS SUR LANTERNE;70800;HAUTE SAONE;70168
CONFLANS SUR LOING;45700;LOIRET;45102
CONFLANS SUR SEINE;51260;MARNE;51162
CONFOLENS;16500;CHARENTE;16106
CONFOLENT PORT DIEU;19200;CORREZE;19167
CONFORT;1200;AIN;1114
CONFRACOURT;70120;HAUTE SAONE;70169
CONFRANCON;1310;AIN;1115
CONGE SUR ORNE;72290;SARTHE;72088
CONGENIES;30111;GARD;30091
CONGERVILLE;91740;ESSONNE;91173
CONGERVILLE THIONVILLE;91740;ESSONNE;91613
CONGIS SUR THEROUANNE;77440;SEINE ET MARNE;77126
CONGRIER;53800;MAYENNE;53073
CONGY;51270;MARNE;51163
CONIE MOLITARD;28200;EURE ET LOIR;28106
CONILHAC CORBIERES;11200;AUDE;11098
CONILHAC DE LA MONTAGNE;11190;AUDE;11097
CONJUX;73310;SAVOIE;73091
CONLIE;72240;SARTHE;72089
CONLIEGE;39570;JURA;39164
CONNAC;12170;AVEYRON;12075
CONNAGE;8450;ARDENNES;8129
CONNANGLES;43160;HAUTE LOIRE;43076
CONNANTRAY VAUREFROY;51230;MARNE;51164
CONNANTRE;51230;MARNE;51165
CONNAUX;30330;GARD;30092
CONNE DE LABARDE;24560;DORDOGNE;24132
CONNELLES;27430;EURE;27168
CONNERRE;72160;SARTHE;72090
CONNEZAC;24300;DORDOGNE;24131
CONNIGIS;2330;AISNE;2213
CONQUEREUIL;44290;LOIRE ATLANTIQUE;44044
CONQUES;12320;AVEYRON;12076
CONQUES SUR ORBIEL;11600;AUDE;11099
CONQUEYRAC;30170;GARD;30093
CONS LA GRANDVILLE;54870;MEURTHE ET MOSELLE;54137
CONS STE COLOMBE;74210;HAUTE SAVOIE;74084
CONSAC;17150;CHARENTE MARITIME;17116
CONSEGUDES;6510;ALPES MARITIMES;6047
CONSENVOYE;55110;MEUSE;55124
CONSIGNY;52700;HAUTE MARNE;52142
CONSOLATION MAISONNETTES;25390;DOUBS;25161
CONTALMAISON;80300;SOMME;80206
CONTAMINE SARZIN;74270;HAUTE SAVOIE;74086
CONTAMINE SUR ARVE;74130;HAUTE SAVOIE;74087
CONTAULT;51330;MARNE;51166
CONTAY;80560;SOMME;80207
CONTE;39300;JURA;39165
CONTES;6390;ALPES MARITIMES;6048
CONTES;62990;PAS DE CALAIS;62236
CONTESCOURT;2680;AISNE;2214
CONTEST;53100;MAYENNE;53074
CONTEVILLE;14540;CALVADOS;14176
CONTEVILLE;27210;EURE;27169
CONTEVILLE;60360;OISE;60161
CONTEVILLE;76390;SEINE MARITIME;76186
CONTEVILLE;80370;SOMME;80208
CONTEVILLE EN TERNOIS;62130;PAS DE CALAIS;62238
CONTEVILLE LES BOULOGNE;62126;PAS DE CALAIS;62237
CONTHIL;57340;MOSELLE;57151
CONTIGNE;49330;MAINE ET LOIRE;49105
CONTIGNY;3500;ALLIER;3083
CONTILLY;72600;SARTHE;72091
CONTINVOIR;37340;INDRE ET LOIRE;37082
CONTOIRE;80500;SOMME;80209
CONTRAZY;9230;ARIEGE;9098
CONTRE;17470;CHARENTE MARITIME;17117
CONTRE;80160;SOMME;80210
CONTREGLISE;70160;HAUTE SAONE;70170
CONTREMOULINS;76400;SEINE MARITIME;76187
CONTRES;18130;CHER;18071
CONTRES;41700;LOIR ET CHER;41059
CONTREUVE;8400;ARDENNES;8130
CONTREVOZ;1300;AIN;1116
CONTREXEVILLE;88140;VOSGES;88114
CONTRIERES;50660;MANCHE;50140
CONTRISSON;55800;MEUSE;55125
CONTY;80160;SOMME;80211
CONTZ LES BAINS;57480;MOSELLE;57152
CONZIEU;1300;AIN;1117
COOLE;51320;MARNE;51167
COOLUS;51510;MARNE;51168
COPPONEX;74350;HAUTE SAVOIE;74088
COQUAINVILLIERS;14130;CALVADOS;14177
COQUELLES;62231;PAS DE CALAIS;62239
CORANCEZ;28630;EURE ET LOIR;28107
CORANCY;58120;NIEVRE;58082
CORAY;29370;FINISTERE;29041
CORBARA;20220;CORSE;20093
CORBARIEU;82370;TARN ET GARONNE;82044
CORBAS;69960;RHONE;69273
CORBEHEM;62112;PAS DE CALAIS;62240
CORBEIL;51320;MARNE;51169
CORBEIL CERF;60110;OISE;60162
CORBEIL ESSONNES;91100;ESSONNE;91174
CORBEILLES;45490;LOIRET;45103
CORBEL;73160;SAVOIE;73092
CORBELIN;38630;ISERE;38124
CORBENAY;70320;HAUTE SAONE;70171
CORBENY;2820;AISNE;2215
CORBERE;66130;PYRENEES ORIENTALES;66055
CORBERE ABERES;64350;PYRENEES ATLANTIQUES;64193
CORBERE LES CABANES;66130;PYRENEES ORIENTALES;66056
CORBERON;21250;COTE D'OR;21189
CORBES;30140;GARD;30094
CORBIE;80800;SOMME;80212
CORBIERES;4220;ALPES DE HAUTE PROVENCE;4063
CORBIERES;11230;AUDE;11100
CORBIGNY;58800;NIEVRE;58083
CORBON;14340;CALVADOS;14178
CORBON;61400;ORNE;61118
CORBONOD;1420;AIN;1118
CORBREUSE;91410;ESSONNE;91175
CORCELLE FERRIERES;25410;DOUBS;25162
CORCELLE MIESLOT;25640;DOUBS;25163
CORCELLES;1110;AIN;1119
CORCELLES;58180;NIEVRE;58904
CORCELLES;70400;HAUTE SAONE;70173
CORCELLES EN BEAUJOLAIS;69220;RHONE;69065
CORCELLES LES ARTS;21190;COTE D'OR;21190
CORCELLES LES CITEAUX;21910;COTE D'OR;21191
CORCELLES LES MONTS;21160;COTE D'OR;21192
CORCIEUX;88430;VOSGES;88115
CORCONDRAY;25410;DOUBS;25164
CORCONNE;30260;GARD;30095
CORCOUE SUR LOGNE;44650;LOIRE ATLANTIQUE;44156
CORCY;2600;AISNE;2216
CORDEAC;38710;ISERE;38125
CORDEBUGLE;14100;CALVADOS;14179
CORDELLE;42123;LOIRE;42070
CORDEMAIS;44360;LOIRE ATLANTIQUE;44045
CORDES SUR CIEL;81170;TARN;81069
CORDES TOLOSANNES;82700;TARN ET GARONNE;82045
CORDESSE;71540;SAONE ET LOIRE;71144
CORDEY;14700;CALVADOS;14180
CORDIEUX;1120;AIN;1120
CORDIRON;25170;DOUBS;25165
CORDON;74700;HAUTE SAVOIE;74089
CORDONNET;70190;HAUTE SAONE;70174
COREN;15100;CANTAL;15055
CORENC;38700;ISERE;38126
CORENT;63730;PUY DE DOME;63120
CORFELIX;51210;MARNE;51170
CORGENGOUX;21250;COTE D'OR;21193
CORGENON;1310;AIN;1904
CORGIRNON;52500;HAUTE MARNE;52143
CORGNAC SUR L ISLE;24800;DORDOGNE;24134
CORGOLOIN;21700;COTE D'OR;21194
CORIGNAC;17130;CHARENTE MARITIME;17118
CORLAY;22320;COTES D'ARMOR;22047
CORLEE;52200;HAUTE MARNE;52144
CORLIER;1110;AIN;1121
CORMAINVILLE;28140;EURE ET LOIR;28108
CORMARANCHE EN BUGEY;1110;AIN;1122
CORMATIN;71460;SAONE ET LOIRE;71145
CORME ECLUSE;17600;CHARENTE MARITIME;17119
CORME ROYAL;17600;CHARENTE MARITIME;17120
CORMEILLES;27260;EURE;27170
CORMEILLES;60120;OISE;60163
CORMEILLES EN PARISIS;95240;VAL D'OISE;95176
CORMEILLES EN VEXIN;95830;VAL D'OISE;95177
CORMELLES LE ROYAL;14123;CALVADOS;14181
CORMENON;41170;LOIR ET CHER;41060
CORMERAY;41120;LOIR ET CHER;41061
CORMERAY;50170;MANCHE;50141
CORMERY;37320;INDRE ET LOIRE;37083
CORMES;72400;SARTHE;72093
CORMICY;51220;MARNE;51171
CORMOLAIN;14240;CALVADOS;14182
CORMONT;62630;PAS DE CALAIS;62241
CORMONTREUIL;51350;MARNE;51172
CORMORANCHE SUR SAONE;1290;AIN;1123
CORMOST;10800;AUBE;10104
CORMOT LE GRAND;21340;COTE D'OR;21195
CORMOYEUX;51480;MARNE;51173
CORMOZ;1560;AIN;1124
CORN;46100;LOT;46075
CORNAC;46130;LOT;46076
CORNANT;89500;YONNE;89116
CORNAS;7130;ARDECHE;7070
CORNAY;8250;ARDENNES;8131
CORNE;49250;MAINE ET LOIRE;49106
CORNEBARRIEU;31700;HAUTE GARONNE;31150
CORNEILHAN;34490;HERAULT;34084
CORNEILLA DE CONFLENT;66820;PYRENEES ORIENTALES;66057
CORNEILLA DEL VERCOL;66200;PYRENEES ORIENTALES;66059
CORNEILLA LA RIVIERE;66550;PYRENEES ORIENTALES;66058
CORNEILLAN;32400;GERS;32108
CORNEUIL;27240;EURE;27172
CORNEVILLE LA FOUQUETIERE;27300;EURE;27173
CORNEVILLE SUR RISLE;27500;EURE;27174
CORNIER;74800;HAUTE SAVOIE;74090
CORNIEVILLE;55200;MEUSE;55126
CORNIL;19150;CORREZE;19061
CORNILLAC;26510;DROME;26104
CORNILLE;24750;DORDOGNE;24135
CORNILLE;35500;ILLE ET VILAINE;35087
CORNILLE LES CAVES;49140;MAINE ET LOIRE;49107
CORNILLON;30630;GARD;30096
CORNILLON CONFOUX;13250;BOUCHES DU RHONE;13029
CORNILLON EN TRIEVES;38710;ISERE;38127
CORNILLON SUR L OULE;26510;DROME;26105
CORNIMONT;88310;VOSGES;88116
CORNOD;39240;JURA;39166
CORNOT;70120;HAUTE SAONE;70175
CORNUS;12540;AVEYRON;12077
CORNUSSE;18350;CHER;18072
CORNY;27700;EURE;27175
CORNY MACHEROMENIL;8270;ARDENNES;8132
CORNY SUR MOSELLE;57680;MOSELLE;57153
CORON;49690;MAINE ET LOIRE;49109
CORPE;85320;VENDEE;85073
CORPEAU;21190;COTE D'OR;21196
CORPOYER LA CHAPELLE;21150;COTE D'OR;21197
CORPS;38970;ISERE;38128
CORPS NUDS;35150;ILLE ET VILAINE;35088
CORQUILLEROY;45120;LOIRET;45104
CORQUOY;18190;CHER;18073
CORRANO;20168;CORSE;20094
CORRAVILLERS;70310;HAUTE SAONE;70176
CORRE;70500;HAUTE SAONE;70177
CORRENCON EN VERCORS;38250;ISERE;38129
CORRENS;83570;VAR;83045
CORREZE;19800;CORREZE;19062
